,Aluminium P1020 duty paid premium cif Japan forward quarter USD/lb,,,,,Aluminium scrap Taint/Tabor cif Asia port USD/lb,,,,,Aluminium scrap Tense cif Asia port USD/lb,,,,,COMEX Aluminum  Spot Month USD/lb,,,,,COMEX Aluminum  March 2021 USD/mt,,,,,COMEX Aluminum  April 2021 USD/mt,,,,,COMEX Aluminum  May 2021 USD/mt,,,,,COMEX Aluminum  June 2021 USD/mt,,,,,COMEX Aluminum  July 2021 USD/mt,,,,
Date,Low,High,Last,Change,% Change,Low,High,Last,Change,% Change,Low,High,Last,Change,% Change,Low,High,Last,Change,% Change,Low,High,Last,Change,% Change,Low,High,Last,Change,% Change,Low,High,Last,Change,% Change,Low,High,Last,Change,% Change,Low,High,Last,Change,% Change
26-Feb-21,,,,,,0.72,0.75,0.735,0.05,7.30%,0.73,0.76,0.745,0,0.00%,-, -,0.99,-0.0321,-3.14%,-, -,2182.5,-70.75,-3.14%,-, -,2186.75,-70.75,-3.13%,-, -,2188,-70.75,-3.13%,-, -,2195.25,-70.75,-3.12%,-, -,2198.5,-70.75,-3.12%
25-Feb-21,,,,,,,,,,,,,,,,-, -,1.0221,0.0288,2.90%,-, -,2253.25,48,2.18%,-, -,2257.5,48.25,2.18%,-, -,2258.75,48,2.17%,-, -,2266,48.25,2.18%,-, -,2269.25,48,2.16%
24-Feb-21,,,,,,,,,,,,,,,,-, -,0.9933,0.0152,1.55%,-, -,2205.25,33.5,1.54%,-, -,2209.25,33.5,1.54%,-, -,2210.75,33.5,1.54%,-, -,2217.75,33.25,1.52%,-, -,2221.25,34,1.55%
23-Feb-21,,,,,,,,,,,,,,,,-, -,0.9781,-0.0048,-0.49%,-, -,2171.75,-10.75,-0.49%,-, -,2175.75,-11,-0.50%,-, -,2177.25,-10.75,-0.49%,-, -,2184.5,-19,-0.86%,-, -,2187.25,-11.25,-0.51%
22-Feb-21,,,,,,,,,,,,,,,,-, -,0.9829,0.0158,1.63%,-, -,2182.5,43.5,2.03%,-, -,2186.75,40.75,1.90%,-, -,2188,35,1.63%,-, -,2203.5,44.75,2.07%,-, -,2198.5,35.75,1.65%
19-Feb-21,,,,,,0.68,0.69,0.685,0.01,1.48%,0.73,0.76,0.745,0.055,7.97%,-, -,0.9671,-0.0043,-0.44%,-, -,2139,-9.5,-0.44%,-, -,2146,-10.5,-0.49%,-, -,2153,-9.5,-0.44%,-, -,2158.75,-9.75,-0.45%,-, -,2162.75,-10,-0.46%
18-Feb-21,,,,,,,,,,,,,,,,-, -,0.9714,0.0115,1.20%,-, -,2148.5,58.5,2.80%,-, -,2156.5,24.75,1.16%,-, -,2162.5,25.25,1.18%,-, -,2168.5,24.25,1.13%,-, -,2172.75,25.25,1.18%
17-Feb-21,,,,,,,,,,,,,,,,-, -,0.9599,0.0151,1.60%,,,,,,-, -,2131.75,33.25,1.58%,-, -,2137.25,33.25,1.58%,-, -,2144.25,33.25,1.58%,-, -,2147.5,33,1.56%
16-Feb-21,,,,,,,,,,,,,,,,-, -,0.9448,-0.004,-0.42%,-, -,2090,-8.75,-0.42%,-, -,2098.5,-7.75,-0.37%,-, -,2104,-8.75,-0.41%,-, -,2111,-9.25,-0.44%,-, -,2114.5,-5.75,-0.27%
12-Feb-21,,,,,,0.67,0.68,0.675,0,0.00%,0.68,0.7,0.69,0,0.00%,-, -,0.9488,0.0035,0.37%,-, -,2098.75,7.75,0.37%,-, -,2106.25,7.75,0.37%,-, -,2112.75,7.5,0.36%,-, -,2120.25,7.75,0.37%,-, -,2120.25,7.75,0.37%
11-Feb-21,,,,,,,,,,,,,,,,-, -,0.9453,0.0015,0.16%,-, -,2091,4.5,0.22%,-, -,2098.5,3.25,0.16%,-, -,2105.25,4.25,0.20%,-, -,2112.5,4.5,0.21%,-, -,2112.5,4.5,0.21%
10-Feb-21,,,,,,,,,,,,,,,,-, -,0.9438,0.0078,0.83%,-, -,2086.5,16,0.77%,-, -,2095.25,17.25,0.83%,-, -,2101,16,0.77%,-, -,2108,16.25,0.78%,-, -,2108,16.25,0.78%
9-Feb-21,,,,,,,,,,,,,,,,-, -,0.936,0.0127,1.38%,-, -,2070.5,28,1.37%,-, -,2078,28,1.37%,-, -,2085,27.75,1.35%,-, -,2091.75,29,1.41%,-, -,2091.75,29,1.41%
8-Feb-21,,,,,,,,,,,,,,,,-, -,0.9233,0.0076,0.83%,-, -,2042.5,16.75,0.83%,-, -,2050,16.75,0.82%,-, -,2057.25,17,0.83%,-, -,2062.75,17,0.83%,-, -,2062.75,17,0.83%
5-Feb-21,,,,,,0.67,0.68,0.675,0,0.00%,0.68,0.7,0.69,0,0.00%,-, -,0.9157,0.0112,1.24%,-, -,2025.75,24.5,1.22%,-, -,2033.25,24.75,1.23%,-, -,2040.25,24.75,1.23%,-, -,2045.75,24.75,1.22%,-, -,2045.75,24.75,1.22%
4-Feb-21,,,,,,,,,,,,,,,,-, -,0.9045,0.0094,1.05%,-, -,2001.25,14.5,0.73%,-, -,2008.5,15.25,0.77%,-, -,2015.5,15.25,0.76%,-, -,2021,15,0.75%,-, -,2021,15,0.75%
3-Feb-21,,,,,,,,,,,,,,,,-, -,0.8951,0.0031,0.35%,-, -,1986.75,7,0.35%,-, -,1993.25,6.75,0.34%,-, -,2000.25,6.75,0.34%,-, -,2006,7,0.35%,-, -,2006,7,0.35%
2-Feb-21,,,,,,,,,,,,,,,,-, -,0.892,0.0016,0.18%,-, -,1979.75,3.75,0.19%,-, -,1986.5,3.5,0.18%,-, -,1993.5,4,0.20%,-, -,1999,3.75,0.19%,-, -,1999,3.75,0.19%
1-Feb-21,,,,,,,,,,,,,,,,-, -,0.8904,0,0.00%,-, -,1976,0,0.00%,-, -,1983,0,0.00%,-, -,1989.5,0,0.00%,-, -,1995.25,0,0.00%,-, -,1995.25,0,0.00%
