,COMEX Aluminum  Spot Month USD/lb,,,,,LME Aluminum   Cash Official Price USD/lb,,,,,Aluminium P1020 US midwest premium USD/lb,,,,,Aluminium P1020 US midwest transaction USD/lb,,,,
Date,Low,High,Last,Change,% Change,Low,High,Last,Change,% Change,Low,High,Last,Change,% Change,Low,High,Last,Change,% Change
1-Mar-21,-, -,0.9735,-0.0165,-1.67%,0.9773,0.9773,0.9773,-0.0217,-2.17%,,,,,,1.1373,1.1398,1.1386,-0.0216,-1.86%
26-Feb-21,-, -,0.99,-0.0321,-3.14%,0.999,0.999,0.999,-0.0093,-0.92%,,,,,,1.159,1.1615,1.1602,-0.0094,-0.80%
25-Feb-21,-, -,1.0221,0.0288,2.90%,1.0083,1.0083,1.0083,0.0351,3.61%,,,,,,1.1683,1.1708,1.1696,0.0352,3.10%
24-Feb-21,-, -,0.9933,0.0152,1.55%,0.9732,0.9732,0.9732,0.0041,0.42%,0.16,0.1625,0.1612,0.0042,2.68%,1.1332,1.1357,1.1344,0.0083,0.74%
23-Feb-21,-, -,0.9781,-0.0048,-0.49%,0.9691,0.9691,0.9691,-0.0077,-0.79%,,,,,,1.1231,1.1291,1.1261,-0.0077,-0.68%
22-Feb-21,-, -,0.9829,0.0158,1.63%,0.9768,0.9768,0.9768,0.0084,0.87%,,,,,,1.1308,1.1368,1.1338,0.0084,0.75%
19-Feb-21,-, -,0.9671,-0.0043,-0.44%,0.9684,0.9684,0.9684,-0.0055,-0.56%,,,,,,1.1224,1.1284,1.1254,-0.0055,-0.49%
18-Feb-21,-, -,0.9714,0.0115,1.20%,0.9739,0.9739,0.9739,0.0229,2.41%,,,,,,1.1279,1.1339,1.1309,0.0229,2.07%
17-Feb-21,-, -,0.9599,0.0151,1.60%,0.951,0.951,0.951,0.0089,0.94%,0.154,0.16,0.157,0,0.00%,1.105,1.111,1.108,0.0089,0.81%
16-Feb-21,-, -,0.9448,-0.004,-0.42%,0.9421,0.9421,0.9421,-0.0009,-0.10%,,,,,,1.0961,1.1021,1.0991,-0.0009,-0.08%
15-Feb-21,,,,,,0.943,0.943,0.943,0.0013,0.14%,,,,,,1.097,1.103,1.1,0.0013,0.12%
12-Feb-21,-, -,0.9488,0.0035,0.37%,0.9417,0.9417,0.9417,0.0003,0.03%,,,,,,1.0957,1.1017,1.0987,0.0003,0.03%
11-Feb-21,-, -,0.9453,0.0015,0.16%,0.9414,0.9414,0.9414,0.0022,0.23%,,,,,,1.0954,1.1014,1.0984,0.0022,0.20%
10-Feb-21,-, -,0.9438,0.0078,0.83%,0.9392,0.9392,0.9392,0.0114,1.23%,0.154,0.16,0.157,0.0045,2.95%,1.0932,1.0992,1.0962,0.0159,1.47%
9-Feb-21,-, -,0.936,0.0127,1.38%,0.9278,0.9278,0.9278,0.009,0.98%,,,,,,1.0778,1.0828,1.0803,0.009,0.84%
8-Feb-21,-, -,0.9233,0.0076,0.83%,0.9188,0.9188,0.9188,0.0082,0.90%,,,,,,1.0688,1.0738,1.0713,0.0082,0.77%
5-Feb-21,-, -,0.9157,0.0112,1.24%,0.9106,0.9106,0.9106,0.0127,1.41%,,,,,,1.0606,1.0656,1.0631,0.0127,1.21%
4-Feb-21,-, -,0.9045,0.0094,1.05%,0.8979,0.8979,0.8979,0.003,0.34%,,,,,,1.0479,1.0529,1.0504,0.003,0.29%
3-Feb-21,-, -,0.8951,0.0031,0.35%,0.8949,0.8949,0.8949,0.0068,0.77%,0.15,0.155,0.1525,0,0.00%,1.0449,1.0499,1.0474,0.0068,0.65%
2-Feb-21,-, -,0.892,0.0016,0.18%,0.8881,0.8881,0.8881,-0.0125,-1.39%,,,,,,1.0381,1.0431,1.0406,-0.0125,-1.19%
1-Feb-21,-, -,0.8904,0,0.00%,0.9006,0.9006,0.9006,0,0.00%,,,,,,1.0506,1.0556,1.0531,0,0.00%
